OHLCData{timestamp=2021-01-07T17:30, open=130.06, high=130.63, low=130.06, close=130.48, volume=36898.0}
OHLCData{timestamp=2021-01-07T18:00, open=130.48, high=130.545, low=130.03, close=130.36, volume=48158.0}
OHLCData{timestamp=2021-01-07T18:30, open=130.4, high=130.555, low=130.21, close=130.315, volume=53930.0}
OHLCData{timestamp=2021-01-07T19:00, open=130.29, high=130.64, low=130.285, close=130.64, volume=41756.0}
OHLCData{timestamp=2021-01-07T19:30, open=130.615, high=130.78, low=130.425, close=130.78, volume=83360.0}
OHLCData{timestamp=2021-01-07T20:00, open=130.785, high=131.195, low=130.47, close=131.195, volume=182234.0}
OHLCData{timestamp=2021-01-07T20:30, open=131.19, high=131.625, low=130.85, close=130.88, volume=167410.0}
OHLCData{timestamp=2021-01-08T13:00, open=132.38, high=132.5, low=132.38, close=132.5, volume=400.0}
OHLCData{timestamp=2021-01-08T13:30, open=132.21, high=132.39, low=132.09, close=132.09, volume=1915.0}
OHLCData{timestamp=2021-01-08T14:00, open=132.1, high=132.6, low=132.09, close=132.54, volume=2243.0}
OHLCData{timestamp=2021-01-08T14:30, open=132.4, high=132.62, low=130.38, close=131.545, volume=457087.0}
OHLCData{timestamp=2021-01-08T15:00, open=131.545, high=131.915, low=130.28, close=130.39, volume=123292.0}
OHLCData{timestamp=2021-01-08T15:30, open=130.33, high=131.485, low=130.33, close=131.045, volume=75990.0}
OHLCData{timestamp=2021-01-08T16:00, open=131.03, high=131.3, low=130.63, close=131.075, volume=111340.0}
OHLCData{timestamp=2021-01-08T16:30, open=131.075, high=132.24, low=130.995, close=132.24, volume=123077.0}
OHLCData{timestamp=2021-01-08T17:00, open=132.26, high=132.57, low=131.72, close=132.15, volume=65323.0}
OHLCData{timestamp=2021-01-08T17:30, open=132.125, high=132.19, low=131.54, close=131.675, volume=45447.0}
OHLCData{timestamp=2021-01-08T18:00, open=131.66, high=131.77, low=130.385, close=131.13, volume=56412.0}
OHLCData{timestamp=2021-01-08T18:30, open=131.135, high=131.21, low=130.25, close=130.96, volume=46420.0}
OHLCData{timestamp=2021-01-08T19:00, open=131.09, high=131.53, low=131.04, close=131.415, volume=33102.0}
OHLCData{timestamp=2021-01-08T19:30, open=131.49, high=131.555, low=131.09, close=131.43, volume=32337.0}
OHLCData{timestamp=2021-01-08T20:00, open=131.46, high=131.83, low=131.42, close=131.755, volume=39539.0}
OHLCData{timestamp=2021-01-08T20:30, open=131.775, high=132.165, low=131.68, close=132.14, volume=125314.0}
OHLCData{timestamp=2021-01-11T13:00, open=130.6, high=130.68, low=130.41, close=130.41, volume=2433.0}
OHLCData{timestamp=2021-01-11T13:30, open=130.26, high=130.26, low=130.07, close=130.21, volume=1375.0}
OHLCData{timestamp=2021-01-11T14:00, open=130.18, high=130.18, low=129.27, close=129.27, volume=4288.0}
OHLCData{timestamp=2021-01-11T14:30, open=129.23, high=129.81, low=128.5, close=129.44, volume=218227.0}
OHLCData{timestamp=2021-01-11T15:00, open=129.375, high=130.11, low=129.375, close=129.995, volume=143713.0}
OHLCData{timestamp=2021-01-11T15:30, open=130.0, high=130.1, low=129.35, close=129.57, volume=70604.0}
OHLCData{timestamp=2021-01-11T16:00, open=129.54, high=129.61, low=129.05, close=129.57, volume=63107.0}
OHLCData{timestamp=2021-01-11T16:30, open=129.555, high=129.68, low=129.32, close=129.51, volume=39806.0}
OHLCData{timestamp=2021-01-11T17:00, open=129.52, high=129.82, low=129.36, close=129.705, volume=50010.0}
OHLCData{timestamp=2021-01-11T17:30, open=129.7, high=130.04, low=129.49, close=129.55, volume=83440.0}
OHLCData{timestamp=2021-01-11T18:00, open=129.535, high=129.92, low=129.46, close=129.61, volume=79395.0}
OHLCData{timestamp=2021-01-11T18:30, open=129.62, high=129.63, low=129.235, close=129.35, volume=47340.0}
OHLCData{timestamp=2021-01-11T19:00, open=129.31, high=129.31, low=128.96, close=128.98, volume=56815.0}
OHLCData{timestamp=2021-01-11T19:30, open=129.01, high=129.31, low=128.9, close=129.295, volume=50490.0}
OHLCData{timestamp=2021-01-11T20:00, open=129.3, high=129.4, low=128.695, close=128.725, volume=84057.0}
OHLCData{timestamp=2021-01-11T20:30, open=128.73, high=129.155, low=128.73, close=128.94, volume=172113.0}
OHLCData{timestamp=2021-01-12T13:00, open=129.66, high=129.67, low=129.195, close=129.195, volume=1143.0}
OHLCData{timestamp=2021-01-12T13:30, open=129.21, high=129.32, low=128.67, close=128.86, volume=3121.0}
OHLCData{timestamp=2021-01-12T14:00, open=128.89, high=128.9, low=128.67, close=128.7, volume=1491.0}
OHLCData{timestamp=2021-01-12T14:30, open=128.43, high=129.69, low=128.125, close=128.37, volume=143123.0}
OHLCData{timestamp=2021-01-12T15:00, open=128.34, high=129.115, low=128.22, close=129.0, volume=42588.0}
OHLCData{timestamp=2021-01-12T15:30, open=129.03, high=129.33, low=128.79, close=128.92, volume=55636.0}
OHLCData{timestamp=2021-01-12T16:00, open=128.87, high=129.165, low=128.63, close=128.72, volume=62182.0}
OHLCData{timestamp=2021-01-12T16:30, open=128.7, high=128.7, low=128.165, close=128.37, volume=34852.0}
OHLCData{timestamp=2021-01-12T17:00, open=128.38, high=128.38, low=126.91, close=127.61, volume=114219.0}
OHLCData{timestamp=2021-01-12T17:30, open=127.55, high=127.985, low=127.48, close=127.955, volume=36209.0}
OHLCData{timestamp=2021-01-12T18:00, open=127.99, high=128.27, low=127.73, close=128.27, volume=35780.0}
OHLCData{timestamp=2021-01-12T18:30, open=128.2, high=128.43, low=128.085, close=128.205, volume=36681.0}
OHLCData{timestamp=2021-01-12T19:00, open=128.2, high=128.64, low=128.175, close=128.52, volume=52198.0}
OHLCData{timestamp=2021-01-12T19:30, open=128.5, high=128.775, low=128.1, close=128.4, volume=37176.0}
OHLCData{timestamp=2021-01-12T20:00, open=128.49, high=128.67, low=128.24, close=128.54, volume=24089.0}
OHLCData{timestamp=2021-01-12T20:30, open=128.56, high=129.185, low=128.475, close=128.88, volume=130167.0}
OHLCData{timestamp=2021-01-13T13:00, open=128.89, high=128.89, low=128.56, close=128.66, volume=604.0}
OHLCData{timestamp=2021-01-13T13:30, open=128.79, high=129.27, low=128.79, close=128.99, volume=2038.0}
OHLCData{timestamp=2021-01-13T14:00, open=129.09, high=129.1, low=128.74, close=128.74, volume=1567.0}
OHLCData{timestamp=2021-01-13T14:30, open=128.69, high=130.13, low=128.5, close=129.845, volume=230552.0}
OHLCData{timestamp=2021-01-13T15:00, open=129.83, high=130.15, low=129.36, close=129.97, volume=125513.0}
OHLCData{timestamp=2021-01-13T15:30, open=130.09, high=131.24, low=130.085, close=131.035, volume=85750.0}
OHLCData{timestamp=2021-01-13T16:00, open=131.02, high=131.44, low=130.85, close=131.215, volume=76314.0}
OHLCData{timestamp=2021-01-13T16:30, open=131.16, high=131.435, low=130.73, close=131.155, volume=72213.0}
OHLCData{timestamp=2021-01-13T17:00, open=131.185, high=131.185, low=130.51, close=130.73, volume=176586.0}
OHLCData{timestamp=2021-01-13T17:30, open=130.73, high=131.17, low=130.43, close=131.13, volume=72730.0}
OHLCData{timestamp=2021-01-13T18:00, open=131.12, high=131.28, low=130.78, close=130.895, volume=71852.0}
OHLCData{timestamp=2021-01-13T18:30, open=130.88, high=131.08, low=130.795, close=130.855, volume=48861.0}
OHLCData{timestamp=2021-01-13T19:00, open=130.86, high=131.15, low=130.75, close=130.935, volume=69484.0}
OHLCData{timestamp=2021-01-13T19:30, open=130.93, high=131.135, low=130.85, close=131.01, volume=79941.0}
OHLCData{timestamp=2021-01-13T20:00, open=131.035, high=131.08, low=130.66, close=130.675, volume=81220.0}
OHLCData{timestamp=2021-01-13T20:30, open=130.675, high=131.11, low=130.62, close=131.03, volume=145274.0}
OHLCData{timestamp=2021-01-14T13:00, open=130.64, high=130.76, low=130.64, close=130.73, volume=915.0}
OHLCData{timestamp=2021-01-14T13:30, open=130.73, high=131.13, low=130.73, close=130.97, volume=1239.0}
OHLCData{timestamp=2021-01-14T14:00, open=130.85, high=130.93, low=130.67, close=130.85, volume=920.0}
OHLCData{timestamp=2021-01-14T14:30, open=130.77, high=130.99, low=129.68, close=130.02, volume=141019.0}
OHLCData{timestamp=2021-01-14T15:00, open=129.99, high=130.345, low=129.62, close=130.23, volume=95838.0}
OHLCData{timestamp=2021-01-14T15:30, open=130.27, high=130.855, low=130.1, close=130.6, volume=59874.0}
OHLCData{timestamp=2021-01-14T16:00, open=130.63, high=130.7, low=130.16, close=130.39, volume=59085.0}
OHLCData{timestamp=2021-01-14T16:30, open=130.39, high=130.505, low=129.87, close=129.99, volume=70150.0}
OHLCData{timestamp=2021-01-14T17:00, open=129.92, high=130.08, low=129.78, close=130.03, volume=49546.0}
OHLCData{timestamp=2021-01-14T17:30, open=130.04, high=130.185, low=129.55, close=130.11, volume=49616.0}
OHLCData{timestamp=2021-01-14T18:00, open=130.08, high=130.12, low=129.73, close=129.78, volume=47721.0}
OHLCData{timestamp=2021-01-14T18:30, open=129.745, high=129.89, low=129.51, close=129.53, volume=45427.0}
OHLCData{timestamp=2021-01-14T19:00, open=129.54, high=129.74, low=129.375, close=129.47, volume=64592.0}
OHLCData{timestamp=2021-01-14T19:30, open=129.46, high=129.59, low=129.3, close=129.59, volume=56392.0}
OHLCData{timestamp=2021-01-14T20:00, open=129.625, high=129.715, low=128.93, close=129.04, volume=119231.0}
OHLCData{timestamp=2021-01-14T20:30, open=129.02, high=129.44, low=128.795, close=129.1, volume=107698.0}
OHLCData{timestamp=2021-01-15T13:00, open=129.08, high=129.16, low=129.02, close=129.03, volume=1522.0}
OHLCData{timestamp=2021-01-15T13:30, open=129.01, high=129.1, low=129.0, close=129.01, volume=1068.0}
OHLCData{timestamp=2021-01-15T14:00, open=128.92, high=129.22, low=128.71, close=129.01, volume=2208.0}
OHLCData{timestamp=2021-01-15T14:30, open=128.67, high=130.2, low=128.67, close=129.15, volume=138984.0}
OHLCData{timestamp=2021-01-15T15:00, open=129.12, high=129.12, low=127.51, close=128.25, volume=125254.0}
OHLCData{timestamp=2021-01-15T15:30, open=128.11, high=128.44, low=127.93, close=128.18, volume=59194.0}
OHLCData{timestamp=2021-01-15T16:00, open=128.24, high=129.315, low=127.62, close=129.3, volume=73421.0}
OHLCData{timestamp=2021-01-15T16:30, open=129.3, high=129.32, low=128.75, close=128.75, volume=34114.0}
OHLCData{timestamp=2021-01-15T17:00, open=128.77, high=128.77, low=128.27, close=128.32, volume=52542.0}
OHLCData{timestamp=2021-01-15T17:30, open=128.245, high=128.7, low=128.195, close=128.5, volume=42573.0}
OHLCData{timestamp=2021-01-15T18:00, open=128.48, high=128.915, low=128.28, close=128.65, volume=38183.0}
OHLCData{timestamp=2021-01-15T18:30, open=128.66, high=128.77, low=128.45, close=128.51, volume=45414.0}
OHLCData{timestamp=2021-01-15T19:00, open=128.52, high=128.72, low=128.04, close=128.06, volume=72845.0}
OHLCData{timestamp=2021-01-15T19:30, open=128.03, high=128.11, low=127.655, close=127.725, volume=76471.0}
OHLCData{timestamp=2021-01-15T20:00, open=127.75, high=127.955, low=127.5, close=127.56, volume=137104.0}
OHLCData{timestamp=2021-01-15T20:30, open=127.565, high=127.6, low=127.01, close=127.32, volume=257764.0}
OHLCData{timestamp=2021-01-19T14:30, open=127.75, high=128.69, low=127.34, close=127.44, volume=184722.0}
OHLCData{timestamp=2021-01-19T15:00, open=127.465, high=127.49, low=126.95, close=127.16, volume=125184.0}
OHLCData{timestamp=2021-01-19T15:30, open=127.175, high=127.41, low=126.97, close=127.09, volume=154804.0}
OHLCData{timestamp=2021-01-19T16:00, open=127.09, high=127.54, low=127.07, close=127.17, volume=95332.0}
OHLCData{timestamp=2021-01-19T16:30, open=127.16, high=127.79, low=127.12, close=127.755, volume=32228.0}
OHLCData{timestamp=2021-01-19T17:00, open=127.705, high=127.77, low=127.38, close=127.39, volume=56801.0}
OHLCData{timestamp=2021-01-19T17:30, open=127.365, high=128.06, low=127.3, close=128.035, volume=55695.0}
OHLCData{timestamp=2021-01-19T18:00, open=128.02, high=128.25, low=127.96, close=128.11, volume=44690.0}
OHLCData{timestamp=2021-01-19T18:30, open=128.135, high=128.15, low=127.9, close=127.96, volume=47510.0}
OHLCData{timestamp=2021-01-19T19:00, open=127.96, high=128.175, low=127.84, close=128.075, volume=49499.0}
OHLCData{timestamp=2021-01-19T19:30, open=128.08, high=128.12, low=127.68, close=127.88, volume=63526.0}
OHLCData{timestamp=2021-01-19T20:00, open=127.91, high=128.12, low=127.77, close=127.865, volume=36671.0}
OHLCData{timestamp=2021-01-19T20:30, open=127.87, high=127.985, low=127.645, close=127.77, volume=102368.0}
OHLCData{timestamp=2021-01-20T13:00, open=128.68, high=128.72, low=128.56, close=128.58, volume=800.0}
OHLCData{timestamp=2021-01-20T13:30, open=128.6, high=128.62, low=128.58, close=128.58, volume=300.0}
OHLCData{timestamp=2021-01-20T14:00, open=128.7, high=128.74, low=128.64, close=128.64, volume=600.0}
OHLCData{timestamp=2021-01-20T14:30, open=128.56, high=130.4, low=128.56, close=130.025, volume=170216.0}
OHLCData{timestamp=2021-01-20T15:00, open=130.02, high=131.2, low=129.83, close=131.08, volume=110424.0}
OHLCData{timestamp=2021-01-20T15:30, open=131.13, high=131.82, low=130.91, close=131.73, volume=107461.0}
OHLCData{timestamp=2021-01-20T16:00, open=131.68, high=131.88, low=131.07, close=131.845, volume=71554.0}
OHLCData{timestamp=2021-01-20T16:30, open=131.81, high=132.25, low=131.68, close=132.065, volume=72212.0}
OHLCData{timestamp=2021-01-20T17:00, open=132.095, high=132.205, low=131.77, close=131.955, volume=45264.0}
OHLCData{timestamp=2021-01-20T17:30, open=131.995, high=132.02, low=131.7, close=131.875, volume=37835.0}
OHLCData{timestamp=2021-01-20T18:00, open=131.885, high=132.2, low=131.85, close=132.19, volume=26272.0}
OHLCData{timestamp=2021-01-20T18:30, open=132.195, high=132.4, low=131.92, close=131.92, volume=38565.0}
OHLCData{timestamp=2021-01-20T19:00, open=131.935, high=132.2, low=131.73, close=132.2, volume=42446.0}
OHLCData{timestamp=2021-01-20T19:30, open=132.155, high=132.49, low=132.13, close=132.185, volume=80949.0}
OHLCData{timestamp=2021-01-20T20:00, open=132.22, high=132.31, low=131.95, close=132.2, volume=46498.0}
OHLCData{timestamp=2021-01-20T20:30, open=132.18, high=132.45, low=132.015, close=132.015, volume=105372.0}
OHLCData{timestamp=2021-01-21T13:30, open=134.22, high=134.22, low=133.52, close=133.86, volume=410.0}
OHLCData{timestamp=2021-01-21T14:00, open=133.68, high=133.92, low=133.58, close=133.9, volume=408.0}
OHLCData{timestamp=2021-01-21T14:30, open=133.79, high=135.05, low=133.59, close=134.87, volume=471561.0}
OHLCData{timestamp=2021-01-21T15:00, open=134.87, high=135.97, low=134.805, close=135.835, volume=180895.0}
OHLCData{timestamp=2021-01-21T15:30, open=135.855, high=136.34, low=135.36, close=135.975, volume=169220.0}
OHLCData{timestamp=2021-01-21T16:00, open=136.0, high=136.375, low=135.85, close=136.185, volume=134656.0}
OHLCData{timestamp=2021-01-21T16:30, open=136.165, high=136.255, low=135.58, close=136.095, volume=102440.0}
OHLCData{timestamp=2021-01-21T17:00, open=136.055, high=136.11, low=135.215, close=135.86, volume=84649.0}
OHLCData{timestamp=2021-01-21T17:30, open=135.86, high=136.2, low=135.65, close=136.175, volume=194396.0}
OHLCData{timestamp=2021-01-21T18:00, open=136.165, high=136.33, low=136.105, close=136.22, volume=93905.0}
OHLCData{timestamp=2021-01-21T18:30, open=136.235, high=136.47, low=135.93, close=136.15, volume=82425.0}
OHLCData{timestamp=2021-01-21T19:00, open=136.105, high=136.65, low=136.105, close=136.565, volume=90872.0}
OHLCData{timestamp=2021-01-21T19:30, open=136.565, high=136.685, low=136.375, close=136.545, volume=66577.0}
OHLCData{timestamp=2021-01-21T20:00, open=136.535, high=136.99, low=136.455, close=136.855, volume=97017.0}
OHLCData{timestamp=2021-01-21T20:30, open=136.845, high=137.335, low=136.805, close=136.81, volume=224511.0}
OHLCData{timestamp=2021-01-22T13:00, open=135.9, high=135.9, low=135.58, close=135.66, volume=808.0}
OHLCData{timestamp=2021-01-22T13:30, open=135.46, high=135.98, low=135.46, close=135.98, volume=600.0}
OHLCData{timestamp=2021-01-22T14:00, open=135.96, high=136.08, low=135.95, close=136.08, volume=1201.0}
OHLCData{timestamp=2021-01-22T14:30, open=136.28, high=137.57, low=135.02, close=137.365, volume=322394.0}
OHLCData{timestamp=2021-01-22T15:00, open=137.405, high=137.64, low=136.53, close=136.615, volume=171053.0}
OHLCData{timestamp=2021-01-22T15:30, open=136.62, high=136.895, low=136.03, close=136.885, volume=111225.0}
OHLCData{timestamp=2021-01-22T16:00, open=136.86, high=137.5, low=136.83, close=137.245, volume=167020.0}
OHLCData{timestamp=2021-01-22T16:30, open=137.245, high=137.47, low=136.97, close=137.32, volume=158780.0}
OHLCData{timestamp=2021-01-22T17:00, open=137.345, high=138.17, low=137.205, close=138.085, volume=94084.0}
OHLCData{timestamp=2021-01-22T17:30, open=138.105, high=138.11, low=137.72, close=137.975, volume=77529.0}
