OHLCData{timestamp=2020-10-15T04:00, open=115.770, high=118.190, low=115.240, close=117.680, volume=1971121.0}
OHLCData{timestamp=2020-10-16T04:00, open=118.210, high=118.510, low=115.910, close=116.020, volume=2678256.0}
OHLCData{timestamp=2020-10-19T04:00, open=116.980, high=117.390, low=112.780, close=113.140, volume=2387641.0}
OHLCData{timestamp=2020-10-20T04:00, open=113.250, high=116.020, low=112.770, close=114.560, volume=2196211.0}
OHLCData{timestamp=2020-10-21T04:00, open=113.770, high=115.730, low=113.590, close=113.970, volume=1815133.0}
OHLCData{timestamp=2020-10-22T04:00, open=114.490, high=115.070, low=111.750, close=112.920, volume=2362788.0}
OHLCData{timestamp=2020-10-23T04:00, open=113.470, high=113.650, low=111.450, close=112.170, volume=2127207.0}
OHLCData{timestamp=2020-10-26T04:00, open=111.170, high=113.640, low=110.080, close=112.270, volume=2018832.0}
OHLCData{timestamp=2020-10-27T04:00, open=112.590, high=114.350, low=111.720, close=113.700, volume=1828389.0}
OHLCData{timestamp=2020-10-28T04:00, open=112.130, high=112.550, low=108.400, close=108.410, volume=2912788.0}
OHLCData{timestamp=2020-10-29T04:00, open=109.580, high=113.930, low=109.430, close=112.150, volume=1989733.0}
OHLCData{timestamp=2020-10-30T04:00, open=108.300, high=109.190, low=105.070, close=106.400, volume=3364089.0}
OHLCData{timestamp=2020-11-02T05:00, open=106.450, high=107.920, low=104.680, close=106.000, volume=1813903.0}
OHLCData{timestamp=2020-11-03T05:00, open=106.930, high=108.680, low=106.050, close=107.760, volume=1678600.0}
OHLCData{timestamp=2020-11-04T05:00, open=111.150, high=112.690, low=109.640, close=112.140, volume=1881211.0}
OHLCData{timestamp=2020-11-05T05:00, open=115.080, high=116.610, low=113.980, close=116.220, volume=1474175.0}
OHLCData{timestamp=2020-11-06T05:00, open=115.510, high=116.410, low=113.440, close=115.940, volume=1102772.0}
OHLCData{timestamp=2020-11-09T05:00, open=117.650, high=119.150, low=113.400, close=113.400, volume=2331457.0}
OHLCData{timestamp=2020-11-10T05:00, open=112.870, high=114.850, low=111.500, close=113.320, volume=1791736.0}
OHLCData{timestamp=2020-11-11T05:00, open=114.480, high=116.790, low=113.780, close=116.790, volume=1292119.0}
OHLCData{timestamp=2020-11-12T05:00, open=116.840, high=117.730, low=115.830, close=116.470, volume=1135508.0}
OHLCData{timestamp=2020-11-13T05:00, open=116.640, high=116.890, low=115.170, close=116.530, volume=1015692.0}
OHLCData{timestamp=2020-11-16T05:00, open=116.160, high=118.170, low=115.420, close=117.460, volume=1324505.0}
OHLCData{timestamp=2020-11-17T05:00, open=116.760, high=117.870, low=116.260, close=116.600, volume=913106.0}
OHLCData{timestamp=2020-11-18T05:00, open=115.860, high=116.990, low=115.260, close=115.260, volume=820336.0}
OHLCData{timestamp=2020-11-19T05:00, open=114.690, high=116.220, low=114.110, close=116.010, volume=740150.0}
OHLCData{timestamp=2020-11-20T05:00, open=115.890, high=116.010, low=114.590, close=114.610, volume=1006256.0}
OHLCData{timestamp=2020-11-23T05:00, open=114.460, high=114.890, low=111.120, close=111.370, volume=2854484.0}
OHLCData{timestamp=2020-11-24T05:00, open=111.320, high=113.160, low=110.000, close=112.440, volume=1703070.0}
